date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-11-05,SPY,HOLD,0.640894,KNN,Index,51,0.72549,1.3715
2024-11-06,SPY,HOLD,0.585592,KNN,Index,51,0.607843,-0.1369
2024-11-07,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.3748
2024-11-08,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.5579
2024-11-11,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.0137
2024-11-12,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.9294
2024-11-13,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.6918
2024-11-14,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.3987
2024-11-15,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.7323
2024-11-18,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.4171
2024-11-19,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.0263
2024-11-20,SPY,HOLD,0.629171,KNN,Index,50,0.7,0.782
2024-11-21,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.0462
2024-11-22,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.1159
2024-11-25,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.1179
2024-11-26,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.2514
2024-11-27,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.0916
2024-11-29,SPY,HOLD,0.479445,KNN,Index,51,0.392157,-0.7241
2024-12-02,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.1011
2024-12-03,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.0372
2024-12-04,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.4947
2024-12-05,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.4757
2024-12-06,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.1037
2024-12-09,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.558
2024-12-10,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.2106
2024-12-11,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.2592
2024-12-12,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.0121
2024-12-13,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.0078
2024-12-16,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.3127
2024-12-17,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.2777
2024-12-18,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.4014
2024-12-19,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.3376
2024-12-20,SPY,HOLD,0.547387,KNN,Index,51,0.529412,1.3028
2024-12-23,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.4969
2024-12-24,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.5952
2024-12-26,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.4636
2024-12-27,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.1647
2024-12-30,SPY,HOLD,0.572122,KNN,Index,50,0.58,0.7485
2024-12-31,SPY,HOLD,0.597487,KNN,Index,49,0.632653,0.7238
2024-01-02,QQQ,HOLD,0.572122,KNN,Index,50,0.58,0.5871
2024-01-03,QQQ,HOLD,0.557009,KNN,Index,51,0.54902,0.2098
2024-01-04,QQQ,HOLD,0.63189,KNN,Index,51,0.705882,0.9858
2024-01-05,QQQ,HOLD,0.498889,KNN,Index,51,0.431373,-0.4208
2024-01-08,QQQ,HOLD,0.613609,KNN,Index,51,0.666667,1.1214
2024-01-09,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.2059
2024-01-10,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,1.0111
2024-01-11,QQQ,HOLD,0.604343,KNN,Index,51,0.647059,0.6289
2024-01-12,QQQ,HOLD,0.547387,KNN,Index,51,0.529412,-0.017
2024-01-16,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,0.2769
2024-01-17,QQQ,HOLD,0.576118,KNN,Index,51,0.588235,0.3214
2024-01-18,QQQ,HOLD,0.508617,KNN,Index,51,0.45098,-0.7131
2024-01-19,QQQ,HOLD,0.566588,KNN,Index,51,0.568627,0.4648
2024-01-22,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.6607
2024-01-23,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.1373
2024-01-24,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,-0.5486
2024-01-25,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,0.6573
2024-01-26,QQQ,HOLD,0.585592,KNN,Index,51,0.607843,0.4524
2024-01-29,QQQ,HOLD,0.489163,KNN,Index,51,0.411765,-0.7013
2024-01-30,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,-0.1045
2024-01-31,QQQ,HOLD,0.613609,KNN,Index,51,0.666667,0.9974
2024-02-01,QQQ,HOLD,0.595002,KNN,Index,51,0.627451,1.1351
2024-02-02,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.0589
2024-02-05,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.4407
2024-02-06,QQQ,HOLD,0.53773,KNN,Index,51,0.509804,0.1949
2024-02-07,QQQ,HOLD,0.528044,KNN,Index,51,0.490196,0.1542
2024-02-08,QQQ,HOLD,0.576118,KNN,Index,51,0.588235,0.0191
